trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp4.png,estimation_exp1.png,estimation_exp3.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.4828715977993735,0,valid_lose,5.366692300000068,0,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.07464902913209714,0,invalid_lose,14.783285500000147,0,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.6704925564050204,1,valid_win,21.049612300000263,1,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.5830910405854884,0,valid_lose,32.78203650000023,1,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.3957142043374007,1,valid_win,37.69976610000003,2,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.8194798698136183,1,valid_win,44.7160243000003,3,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.3680638578480703,1,valid_win,52.24935080000023,4,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.705566084792031,0,valid_lose,56.84864920000018,4,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.8946193636799751,0,valid_lose,61.44901280000022,4,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.9536467744490145,1,valid_win,65.76611869999988,5,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.03356922152903663,1,invalid_win,70.24889630000007,6,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.9119830545365826,0,valid_lose,75.99826269999994,6,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9522005601410705,1,valid_win,80.6986721000003,7,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.043325392144095254,1,invalid_win,85.28122389999999,8,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.3491370360584126,0,valid_lose,91.8817597000002,8,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.3432149711748409,0,valid_lose,96.03165350000017,8,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7930638447044887,1,valid_win,100.24785220000012,9,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.43441021250813305,1,valid_win,104.66495290000012,10,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7158704053874091,1,valid_win,108.86429010000029,11,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.12581006306899312,1,invalid_win,113.14799279999988,12,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
