trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,thisRow.t,notes,instructions1.started,instructions1.stopped,instructions2.started,instructions2.stopped,instructions3.started,instructions3.stopped,intstructions4.started,intstructions4.stopped,instructions5.started,instructions5.stopped,mindware_trigger_learning.started,mindware_trigger_learning.stopped,trial.started,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,trial.stopped,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,feedback_preparation.started,feedback_preparation.stopped,score,feedback.started,feedback.stopped,estimation.started,estimation_rating.started,estimation.stopped,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp4.png,estimation_exp2.png,estimation_exp3.png,mindware_trigger_reversal.started,mindware_trigger_reversal.stopped,total_learning_time,thank_you.started,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,expStart,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,89.32076119999692,,0.012252400003490038,41.716235300002154,41.71626119999564,47.61544329999015,47.61546819999057,69.7624203000014,69.76244049999514,76.19470729999011,76.19473969998944,89.14411280000058,89.16453399999591,89.1652510999993,89.16527029999997,False,0,1,False,exp1.png,exp2.png,trial_right_image,96.69053069999791,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.29264619710243867,1,valid_win,7.546750699999393,96.6909125999955,97.30627600000298,1,97.30631069999072,99.10398129999521,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,99.26133480000135,,,,,,,,,,,,99.10461149999173,99.10543100000359,99.10546720000275,False,1,2,False,exp3.png,exp4.png,trial_right_image,103.85645019999356,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.27179544750499307,1,valid_win,14.712569499999518,103.85672640000121,104.47162889999163,2,104.47165340000356,106.26902419999533,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,106.39704369999527,,,,,,,,,,,,106.26933239999926,106.26973949999956,106.2697565999988,False,2,3,False,exp1.png,exp2.png,trial_left_image,128.5367128999933,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.8031073998868073,0,valid_lose,39.392856499995105,128.53701410000212,129.15169919999607,2,129.15171510000073,130.94982319998962,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,131.08343359999708,,,,,,,,,,,,130.95043189999706,130.95120199999656,130.9512376999919,False,3,4,True,exp4.png,exp3.png,trial_left_image,133.83633910000208,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.5373907962209588,1,valid_win,44.69258529999934,133.83675029998994,134.45086810000066,3,134.4508855000022,136.24887460000173,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,136.3744824000023,,,,,,,,,,,,136.24917680000362,136.24957580000046,136.2495923999959,False,4,5,True,exp2.png,exp1.png,trial_left_image,138.9848670999927,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.21945419284416123,0,invalid_lose,49.841006399990874,138.98521149999578,139.60052919998998,3,139.60064599999168,141.39822119999735,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,141.51874379999936,,,,,,,,,,,,141.39847929999814,141.39883249999548,141.3988462999987,False,5,6,True,exp4.png,exp3.png,trial_left_image,145.9012609999918,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.24349815322441726,0,invalid_lose,56.757407500001136,145.9015655999974,146.51607289999083,3,146.51609930000268,148.31395630000043,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,148.44992810000258,,,,,,,,,,,,148.31452179999906,148.3152093999961,148.3152437999961,False,6,7,False,exp1.png,exp2.png,trial_right_image,150.18431689999125,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.5822683964002926,1,valid_win,61.04058509999595,150.1847498999996,150.79898890000186,4,150.7990417999972,152.59707560000243,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,152.73049909999827,,,,,,,,,,,,152.59763669999666,152.5984371999948,152.59846999999718,False,7,8,False,exp3.png,exp4.png,trial_right_image,154.49960049999936,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.9069234067056449,1,valid_win,65.35574369999813,154.49990049999906,155.1150437000033,5,155.11506289998943,156.91282779999892,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,157.05035599999246,,,,,,,,,,,,156.9133562999923,156.91390679999313,156.91393549999339,False,8,9,True,exp2.png,exp1.png,trial_right_image,160.46604829998978,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.19803207682447865,1,invalid_win,71.3223808999901,160.4665537999972,161.08165949999238,6,161.08171030000085,162.87893579999218,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,163.01261859999795,,,,,,,,,,,,162.8799769999896,162.88077249999333,162.88081439999223,False,9,10,False,exp3.png,exp4.png,trial_right_image,164.98275139999168,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.7066721163079909,1,valid_win,75.83928109999397,164.9834608999954,165.59706780000124,7,165.59709119999025,167.39480899999035,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,167.52089929999784,,,,,,,,,,,,167.39513049999368,167.39551659999415,167.395531999995,False,10,11,True,exp2.png,exp1.png,trial_right_image,169.53144469999825,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.21889446063940265,1,invalid_win,80.38752489999752,169.53168279999227,170.14659930000198,8,170.14663930000097,171.9446689000033,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,172.08441389999643,,,,,,,,,,,,171.94566919999488,171.94679950000136,171.94686260000162,False,11,12,False,exp3.png,exp4.png,trial_right_image,174.6308607999963,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.2859323099292792,1,valid_win,85.48705019999761,174.6312093000015,175.24583449999045,9,175.2458570000017,177.04376760000014,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,177.1838037999987,,,,,,,,,,,,177.0444831999921,177.0453215000016,177.0453611999983,False,12,13,False,exp1.png,exp2.png,trial_left_image,179.39663550000114,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.3815049500640294,0,valid_lose,90.2527354999911,179.3968942999927,180.01198640000075,9,180.01202049999847,181.8096086000005,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,181.93405979999807,,,,,,,,,,,,181.8098914000002,181.81026539999584,181.81027989998984,False,13,14,False,exp3.png,exp4.png,trial_right_image,183.51278769999044,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.5787135432423058,1,valid_win,94.36885519999487,183.5130080999952,184.1279097999941,10,184.1279261000018,185.9263595999946,,,,,,,,,,,,,,,,,,,,sub_576,2024-01-30_15h02.23.759,Reversal,2023.2.1,59.93647931873378,4,2024-01-30 15h02.34.452083 +0200,
