trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,estimation_exp1.png,estimation_exp2.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.19834863828636662,0,invalid_lose,5.013478599999871,0,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.4087682994953885,0,valid_lose,12.062325099999725,0,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.8983736624430061,1,valid_win,21.591444200000296,1,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.014774720753354287,1,invalid_win,27.271947199999886,2,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.2739483644000368,1,valid_win,32.28708370000004,3,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.8944437455633918,0,valid_lose,37.80210150000039,3,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.19202871736265903,1,invalid_win,46.79917209999985,4,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.6889005242966859,1,valid_win,51.780577900000026,5,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.5463420636605136,0,valid_lose,56.212397899999814,5,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.32830239764854385,1,valid_win,61.37770509999973,6,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.010806875330323318,0,invalid_lose,66.50927500000034,6,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9270297037593923,1,valid_win,70.59162360000028,7,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.8856966682003163,0,valid_lose,75.92260280000028,7,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.26979299738436613,0,valid_lose,80.08932850000019,7,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.9869756446711707,0,valid_lose,84.48620730000039,7,,,,,,,,,,,,,,,sub_667,2024-08-04_12h15.52.214,Reversal,2023.1.3,60.07896779540422,3,
