trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,total_learning_time,estimation_exp2.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.47395785757773,0,valid_lose,5.629705699999249,0,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.38012926725732543,0,valid_lose,12.093363699999827,0,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.7236711879702227,1,valid_win,18.39190149999922,1,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.578491765311599,0,valid_lose,25.988996999999472,1,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.395230772820066,1,valid_win,30.70388819999971,2,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.05264496290065923,0,invalid_lose,35.58562339999935,2,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.9066898081298885,1,valid_win,41.533390300000065,3,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.8278876042020774,1,valid_win,46.96597239999937,4,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.1763010774900987,1,invalid_win,51.563866499999676,5,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.7566740776531564,1,valid_win,56.02885079999942,6,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.9941253119797616,0,valid_lose,60.2609438999998,6,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.2403621706578195,0,invalid_lose,64.79240279999976,6,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.3179626002384538,0,valid_lose,69.04111509999984,6,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.799553918266395,0,valid_lose,73.43919659999938,6,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.9666034356556263,1,valid_win,78.23808719999943,7,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.20230027811604856,0,invalid_lose,82.51957749999929,7,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.9813994376944256,0,valid_lose,87.05129539999962,7,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.7218632932127137,0,valid_lose,91.11678630000006,7,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.29345793959233946,1,valid_win,96.3151484,8,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
