trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.8439498164591405,1,valid_win,8.178209899999729,1,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.3573194899908866,0,valid_lose,15.575952700000016,1,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.455834444529001,1,valid_win,21.123961599999802,2,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9254048393764117,1,valid_win,26.27232819999972,3,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.2172360816756872,0,invalid_lose,31.904575600000044,3,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9393493935761781,1,valid_win,37.68491970000014,4,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.021700835134383034,1,invalid_win,41.85143130000006,5,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.3122994253893754,1,valid_win,46.89883439999994,6,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.8674434448607892,0,valid_lose,51.39815559999988,6,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9210902968757944,1,valid_win,56.31184929999972,7,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3242566422436527,1,valid_win,61.6772861999998,8,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9780777383416837,1,valid_win,66.55870210000012,9,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.856519273969262,1,valid_win,72.40655579999975,10,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
