trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp1.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.5264019622413393,0,valid_lose,6.861654899999849,0,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.3049371355773497,0,valid_lose,13.577340699994238,0,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.0368236614298274,1,invalid_win,20.040481300005922,1,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.578778443577701,1,valid_win,26.554956799998763,2,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.7578042990941372,0,valid_lose,31.971659700007876,2,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6888352223369982,0,valid_lose,36.7697490999999,2,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.5111730313205112,0,valid_lose,40.952078899994376,2,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.9885190612694258,0,valid_lose,45.60025200000382,2,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.08924988501486653,1,invalid_win,49.51532609999413,3,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6569236150660643,0,valid_lose,53.69712120000622,3,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.6238406554596584,1,valid_win,57.84482339999522,4,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.36186997814086985,1,valid_win,62.344128299999284,5,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.4764896280534754,0,valid_lose,66.4762738999998,5,,,,,,,,,,,,sub_985,2024-09-09_09h56.10.377,Reversal,2023.1.3,60.08120575879088,1,
