trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.016426546860226265,1,invalid_win,4.613481600000341,1,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.4897156333803896,0,valid_lose,7.645590199999788,1,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.5546120231038986,1,valid_win,13.394010199999684,2,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.006333265762894169,0,invalid_lose,18.742115799999738,2,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.568561583223772,0,valid_lose,23.27420710000024,2,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.4891925365270211,0,valid_lose,27.722265200000038,2,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6174173028537372,1,valid_win,32.78680970000005,3,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.8492009266893864,0,valid_lose,37.785588100000496,3,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.5577590148597545,0,valid_lose,42.60084519999964,3,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.1570898245662461,1,invalid_win,46.683335499999885,4,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.7743042679402421,0,valid_lose,50.76441330000034,4,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.12863549295803167,0,invalid_lose,54.89658280000003,4,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.3420756630685301,0,valid_lose,58.82840440000018,4,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.10607993353312617,0,invalid_lose,62.66062890000012,4,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.69046833488383,1,valid_win,66.62594999999965,5,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8481191261426759,1,valid_win,70.84104360000038,6,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
