trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,estimation_exp1.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.1789049375841334,1,invalid_win,10.246981299947947,1,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.6503814262505487,1,valid_win,16.246605699998327,2,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.4293026062765658,0,valid_lose,22.730193499999586,2,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.0070388046085090306,1,invalid_win,31.328190899977926,3,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.43485638373396396,1,valid_win,38.67851429997245,4,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.9387009967683687,1,valid_win,44.69256779999705,5,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.7661364495583551,1,valid_win,51.57414049998624,6,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.6119052978203973,1,valid_win,56.357329799968284,7,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.05045924977713945,0,invalid_lose,60.85777699999744,7,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.22007752334396014,0,invalid_lose,66.68941329995869,7,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.8748316003820733,0,valid_lose,72.50656279997202,7,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.045824741382680334,0,invalid_lose,78.88778289995389,7,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.08221320042190394,1,invalid_win,84.32159419998061,8,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.6740239708832828,1,valid_win,91.43677689996548,9,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.6124489634164911,1,valid_win,96.168919299962,10,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.8147406465189988,1,valid_win,102.1863237999496,11,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.5580664830357652,1,valid_win,107.31899599998724,12,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.5684724815318848,1,valid_win,113.01667189999716,13,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.948973593417531,1,valid_win,119.49916629999643,14,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.3296870168920393,1,valid_win,124.5990491999546,15,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],244.8640377999982,None,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,13.587109999964014,"[(70.0, 10.986426599964034), (86.0, 12.120875299966428), (94.0, 12.87411139998585), (99.0, 13.587109999964014)]",253.91552260000026,None,99.0,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.388752300001215,"[(15.0, 6.606440300005488), (4.0, 7.388752300001215)]",268.816845000023,None,,4.0,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,4.050518800038844,"[(98.0, 4.050518800038844)]",277.5189219000167,None,,,98.0,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.35300931330907415,1,valid_win,168.87663559999783,16,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.5012960170641191,1,valid_win,173.9589801999973,17,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.5570550328290039,1,valid_win,178.90806689998135,18,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.795797610594049,1,valid_win,183.69177229999332,19,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.9252023908971492,1,valid_win,188.3084917999804,20,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.38838284396666845,1,valid_win,193.0901055999566,21,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.03232214334167105,0,invalid_lose,198.10598679998657,21,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.19398280217127017,1,invalid_win,205.44045029999688,22,,,,,,,,,,,,,,,,sub_284,2022-12-21_12h48.24.296,Reversal,2022.1.1,59.85507887351414,4,
