trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,thisRow.t,notes,instructions1.started,instructions1.stopped,instructions2.started,instructions2.stopped,instructions3.started,instructions3.stopped,intstructions4.started,intstructions4.stopped,instructions5.started,instructions5.stopped,mindware_trigger_learning.started,mindware_trigger_learning.stopped,trial.started,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,trial.stopped,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,feedback_preparation.started,feedback_preparation.stopped,score,feedback.started,feedback.stopped,estimation.started,estimation_rating.started,estimation.stopped,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,estimation_exp1.png,estimation_exp2.png,mindware_trigger_reversal.started,mindware_trigger_reversal.stopped,total_learning_time,thank_you.started,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,thank_you.stopped,end_experiment.keys,end_experiment.rt,end_experiment.duration,participant,date,expName,psychopyVersion,frameRate,ver,expStart,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,44.36422240000684,,0.012175999989267439,33.58511230000295,33.58516379998764,37.717400799971074,37.71743109996896,37.98365579999518,37.983686099993065,40.19952209998155,40.19955189997563,44.184013599995524,44.204731500009075,44.20555219997186,44.20558800001163,False,0,1,False,exp1.png,exp2.png,trial_left_image,53.930580399988685,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.08113088646508848,1,invalid_win,9.747009699989576,53.93108830001438,54.545373199973255,1,54.54541530000279,56.34318029996939,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,56.52799699996831,,,,,,,,,,,,56.3440716000041,56.34507109998958,56.345121199963614,False,1,2,False,exp3.png,exp4.png,trial_left_image,59.91403519996675,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.7861991635742607,0,valid_lose,15.730636399996001,59.914730299962685,60.52806579996832,1,60.52810789999785,62.32547679997515,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,62.46323160000611,,,,,,,,,,,,62.3260719999671,62.32681419997243,62.32684930000687,False,2,3,True,exp2.png,exp1.png,trial_left_image,66.8962743000011,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.334937430290728,1,valid_win,22.71288679999998,66.89698019996285,67.50995109998621,2,67.50996990001295,69.3085437999689,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,69.45647789997747,,,,,,,,,,,,69.30952109995997,69.3106619999744,69.3107197000063,False,3,4,False,exp3.png,exp4.png,trial_right_image,72.46068799996283,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.6577438735021671,1,valid_win,28.27688089996809,72.46094759996049,73.07647669996368,3,73.0765244999784,74.87446119997185,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,75.02913460001582,,,,,,,,,,,,74.87547689996427,74.8767044999986,74.87676479999209,False,4,5,True,exp2.png,exp1.png,trial_left_image,78.94394829997327,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.9467134799723727,1,valid_win,34.760277699970175,78.94435399997747,79.55830919998698,4,79.5583256999962,81.3563452999806,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,81.49640279996675,,,,,,,,,,,,81.3569911000086,81.35774949996267,81.35778799996478,False,5,6,False,exp3.png,exp4.png,trial_right_image,84.009588899964,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9739953633311919,1,valid_win,39.82585029996699,84.00992280000355,84.62444390001474,5,84.62446690001525,86.42227529996308,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,86.56905940000433,,,,,,,,,,,,86.42278409999562,86.42346510000061,86.42349469999317,False,6,7,False,exp1.png,exp2.png,trial_right_image,88.99294119997649,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.569834504483422,1,valid_win,44.809336000005715,88.9934161999845,89.60709239996504,6,89.6071140000131,91.4055028000148,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,91.54927479999606,,,,,,,,,,,,91.406495800009,91.40778169996338,91.40784100000747,False,7,8,False,exp3.png,exp4.png,trial_right_image,94.77596830000402,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.08854043396072886,0,invalid_lose,50.59232509997673,94.7764024999924,95.39075839996804,6,95.39079209999181,97.18777560000308,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,97.33498549996875,,,,,,,,,,,,97.18827179999789,97.18888309999602,97.18891329999315,False,8,9,True,exp2.png,exp1.png,trial_left_image,100.74118690000614,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.4413632702964513,1,valid_win,56.557583299989346,100.74166399997193,101.3563725000131,7,101.35640759998932,103.15410169999814,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,103.29891589999897,,,,,,,,,,,,103.15512299997499,103.15631809999468,103.1563785999897,False,9,10,False,exp3.png,exp4.png,trial_left_image,105.85697739996249,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.9398351821807684,0,valid_lose,61.673266700003296,105.85733819997404,106.47193850000622,7,106.4719696000102,108.26958670001477,,,,,,,,,,,,,,,,,,,,,,,,sub_571,2024-01-29_09h53.18.273,Reversal,2023.2.1,59.92229277198131,3,2024-01-29 09h53.31.969076 +0200,
