trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,thisRow.t,notes,instructions1.started,instructions1.stopped,instructions2.started,instructions2.stopped,instructions3.started,instructions3.stopped,intstructions4.started,intstructions4.stopped,instructions5.started,instructions5.stopped,mindware_trigger_learning.started,mindware_trigger_learning.stopped,trial.started,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,trial.stopped,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,feedback_preparation.started,feedback_preparation.stopped,score,feedback.started,feedback.stopped,estimation.started,estimation_rating.started,estimation.stopped,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,estimation_exp2.png,mindware_trigger_reversal.started,mindware_trigger_reversal.stopped,total_learning_time,thank_you.started,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,expStart,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,28.791571800000384,,0.023936800000228686,3.665683199999876,3.665714900000239,10.83755740000015,10.837589499999922,17.571275700000115,17.571317400000225,22.603502099999787,22.603579399999944,28.568832199999633,28.601343199999974,28.602581899999677,28.602612100000442,False,0,1,False,exp1.png,exp2.png,trial_left_image,37.21692859999985,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.1035574923963023,1,invalid_win,8.648730099999739,37.2176427000004,37.83093800000006,1,37.83099070000026,39.62912529999994,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,39.787611599999764,,,,,,,,,,,,39.63011809999989,39.63128219999999,39.631330700000035,False,1,2,True,exp4.png,exp3.png,trial_left_image,42.732344699999885,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.8723331184880906,1,valid_win,14.1640325999997,42.73294140000053,43.34697520000009,2,43.347036899999694,45.145041599999786,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,45.28680369999984,,,,,,,,,,,,45.146145499999875,45.146924800000306,45.146961000000374,False,2,3,False,exp1.png,exp2.png,trial_right_image,48.43109860000004,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.8288456097962007,1,valid_win,19.862648699999227,48.431539899999734,49.04630309999993,3,49.04635010000038,50.84427119999964,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,50.998748400000295,,,,,,,,,,,,50.845167700000275,50.846193100000164,50.84624210000038,False,3,4,True,exp4.png,exp3.png,trial_left_image,54.73149000000012,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.5812795013630764,1,valid_win,26.163390899999285,54.73229970000011,55.34511790000033,4,55.345147,57.14359119999972,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,57.3064916000003,,,,,,,,,,,,57.145080000000235,57.14626810000027,57.14632270000038,False,4,5,True,exp2.png,exp1.png,trial_right_image,61.679521600000044,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.05574167580113587,1,invalid_win,33.11106819999986,61.67996049999965,62.294582499999706,5,62.29462560000047,64.0920971000005,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,64.23650999999973,,,,,,,,,,,,64.09262839999974,64.09322650000013,64.09325489999992,False,5,6,True,exp4.png,exp3.png,trial_right_image,70.42823409999983,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.7295184211563243,0,valid_lose,41.85967709999932,70.4285645,71.04318330000024,5,71.04321110000001,72.84125969999968,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,73.00091549999979,,,,,,,,,,,,72.84220660000028,72.84326979999969,72.84333669999978,False,6,7,False,exp1.png,exp2.png,trial_left_image,75.91091770000003,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.14209413874953558,1,invalid_win,47.34247799999957,75.9113711,76.52663670000038,6,76.52668059999996,78.32390980000037,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,78.46837190000042,,,,,,,,,,,,78.32479090000015,78.32583280000017,78.32588130000022,False,7,8,True,exp4.png,exp3.png,trial_right_image,82.44396870000037,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.19317802204265577,1,invalid_win,53.875613399999565,82.44451170000048,83.05806329999996,7,83.0580903,84.85626310000043,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,85.0064239000003,,,,,,,,,,,,84.85680330000014,84.85746160000053,84.85748990000047,False,8,9,False,exp1.png,exp2.png,trial_left_image,88.39326119999987,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.6453439049524642,0,valid_lose,59.82505929999934,88.39395810000042,89.0080211000004,7,89.00804890000018,90.80561930000022,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,90.95104619999984,,,,,,,,,,,,90.80657820000033,90.80768619999981,90.80773800000043,False,9,10,True,exp4.png,exp3.png,trial_left_image,93.44293470000048,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.9032641252563405,1,valid_win,64.87456969999948,93.4434683999998,94.05750979999993,8,94.0575458000003,95.85477989999981,,,,,,,,,,,,,,,,,,,,sub_588,2024-11-20_14h56.00.835,Reversal,2023.2.1,60.087379066796764,4,2024-11-20 14h56.27.716789 +0200,
