trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_rating.response,estimation_rating.rt,estimation_rating.history,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.9085443161863583,0,valid_lose,5.229824000000008,0,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.4466377646664774,0,valid_lose,10.710463600000367,0,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.43712851899826,1,valid_win,16.625283500000478,1,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.5018431638888288,0,valid_lose,22.35646900000029,1,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.09267378873522036,0,invalid_lose,27.921331999999893,1,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.02467928261755792,1,invalid_win,33.58575660000042,2,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.30640553332306464,1,valid_win,38.85100770000008,3,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.4361990065079593,0,valid_lose,43.3501511000004,3,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.4426683162560515,0,valid_lose,48.99877170000036,3,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.6823698472282973,1,valid_win,54.179052200000115,4,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7167366525041906,1,valid_win,58.5790035,5,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.044618304535971376,1,invalid_win,62.7761258999999,6,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
