trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,thisRow.t,notes,instructions1.started,instructions1.stopped,instructions2.started,instructions2.stopped,instructions3.started,instructions3.stopped,intstructions4.started,intstructions4.stopped,instructions5.started,instructions5.stopped,mindware_trigger_learning.started,mindware_trigger_learning.stopped,trial.started,skipped,trial.stopped,feedback_preparation.started,feedback_preparation.stopped,feedback.started,feedback.stopped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation.started,estimation_rating.started,estimation.stopped,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,mindware_trigger_reversal.started,mindware_trigger_reversal.stopped,total_learning_time,thank_you.started,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,expStart,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,85.8702025001403,,0.02013790002092719,49.26344250002876,49.26347150001675,57.95065170014277,57.950692400103435,66.81537530012429,66.81540930015035,71.24733360018581,71.24737240001559,85.57914430019446,85.60764120006934,85.60890300013125,85.60893650003709,True,85.71684700017795,85.71686330018565,85.73406539997086,85.73407990019768,85.74901990010403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,85.8702025001403,,,,,,,,,,,,85.74927320005372,85.74951150012203,85.74952360009775,False,89.02701320010237,89.02736940002069,89.64194340002723,89.64197720005177,91.43974569998682,0,1,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.5236331801696571,0,valid_lose,3.448173499898985,0,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,91.57146960007958,,,,,,,,,,,,91.4401781000197,91.44074030010961,91.44076320016757,False,95.25945920008235,95.2598702001851,95.87454920005985,95.87457640003413,97.67284250003286,1,2,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.0075838157107143145,1,invalid_win,9.680673899827525,1,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,97.82128840009682,,,,,,,,,,,,97.67375420010649,97.6747844000347,97.67483460018411,False,101.64254670008086,101.64296229998581,102.2575455000624,102.25757280015387,104.05485640000552,2,3,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.47823714292865516,1,valid_win,16.06376269995235,2,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,104.1831700000912,,,,,,,,,,,,104.05521650006995,104.05568140000105,104.0557002001442,False,110.65828329999931,110.65878150006756,111.2729237000458,111.27297529997304,113.070235399995,3,4,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.6332880735562576,1,valid_win,25.079578599892557,3,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,113.2090876000002,,,,,,,,,,,,113.07084950013086,113.07149820006453,113.07152850017883,False,116.10739120002836,116.1078850000631,116.72192410007119,116.72198030003347,118.52002350008115,4,5,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.8203965716262388,1,valid_win,30.528679999988526,4,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,118.66223350004293,,,,,,,,,,,,118.52092969999649,118.5219360999763,118.52198540000245,False,122.47350650001317,122.47392900008708,123.08768770005554,123.08772510010749,124.88553049997427,5,6,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.3135647509950982,0,valid_lose,36.89473049994558,4,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,125.02148550003767,,,,,,,,,,,,124.88621420017444,124.88685400015675,124.88687980012037,False,128.1045014001429,128.10472750011832,128.7203039000742,128.7203324001748,130.51848930004053,6,7,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.9916989332032465,1,valid_win,42.52553869993426,5,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,130.6620781000238,,,,,,,,,,,,130.51934300013818,130.52022810000926,130.52027450012974,False,133.3549177001696,133.3553071001079,133.9697746001184,133.96980480011553,135.76769500016235,7,8,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.15996197978106974,0,invalid_lose,47.77610889985226,5,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,135.909392000176,,,,,,,,,,,,135.76811030018143,135.7686237001326,135.76864480017684,False,139.3210569000803,139.3215767000802,139.93544220016338,139.93546389997937,141.73328330018558,8,9,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.6953427480861678,1,valid_win,53.74236969999038,6,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
