trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.7747974344083468,1,valid_win,9.262099799999305,1,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8347676234589844,1,valid_win,18.592122799999743,2,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.23582908457450025,1,invalid_win,23.574344999999994,3,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.4991976773688377,1,valid_win,29.955596499999956,4,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.65987713926952,1,valid_win,35.58608819999972,5,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5642535009325712,1,valid_win,41.05289259999972,6,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6267186303126949,0,valid_lose,46.86608999999953,6,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.07631652665416833,0,invalid_lose,53.46360109999932,6,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.09067837184993277,0,invalid_lose,59.49522960000013,6,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.6774759064913842,0,valid_lose,66.12597000000005,6,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.46941330965474803,1,valid_win,70.49139569999988,7,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.4160545254157111,1,valid_win,75.15669619999971,8,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.736442724335129,1,valid_win,80.18888979999974,9,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.1866159242920461,0,invalid_lose,84.7367905000001,9,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8883358151863006,1,valid_win,93.95037629999933,10,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.18739830857880846,1,invalid_win,100.0980770999995,11,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.14321595943815268,0,invalid_lose,105.42928260000008,11,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.1464808943931264,0,invalid_lose,116.09237380000013,11,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6359181542129578,1,valid_win,120.57486280000012,12,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.036154245603137736,0,invalid_lose,127.08872049999991,12,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
