trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,total_learning_time,estimation_exp2.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.7280779844714502,0,valid_lose,5.730812499998137,0,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.46095910899181647,0,valid_lose,13.061025800008792,0,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.49396258429344486,1,valid_win,19.875147800004925,1,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.07403491838712606,0,invalid_lose,24.30905250000069,1,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.19544799351030584,0,invalid_lose,29.538683200007654,1,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6242166270515489,1,valid_win,34.00365510000847,2,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7214682391601741,1,valid_win,39.43604200000118,3,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.764159143304819,0,valid_lose,44.11699970001064,3,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8436808980521278,1,valid_win,48.798921100009466,4,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.970667166160535,1,valid_win,53.36435580000398,5,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.2281720333055095,0,invalid_lose,58.02908710000338,5,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8198164896040544,1,valid_win,62.34468619999825,6,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7562664446056825,1,valid_win,66.91006989999732,7,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.7611683806638975,0,valid_lose,72.21019460000389,7,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7255195076573601,1,valid_win,76.17287760000909,8,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.5435994971572599,1,valid_win,80.08852810000826,9,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.32356978957273563,0,valid_lose,84.61975900000834,9,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8755730656711054,1,valid_win,88.50186899999972,10,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.4859313474355512,0,valid_lose,92.35136850000708,10,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8486377046905627,1,valid_win,96.24938540000585,11,,,,,,,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.17945229999896,50.0,50.0,7.591420400000061,"[(50.0, 7.591420400000061)]",,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.61703579999448,,None,None,[],,,,,,,,,,sub_961,2025-03-24_14h41.31.860,Reversal,2023.1.3,60.00211207645714,1,
