trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,ver,date,expName,psychopyVersion,frameRate
0,exp1.png,exp2.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
1,exp3.png,exp4.png,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,1,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.907175899,0,valid_lose,3.9116424,0,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
2,exp1.png,exp2.png,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,2,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.577620005,1,valid_win,8.7921752,1,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
3,exp3.png,exp4.png,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,3,TRUE,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.62634499,0,valid_lose,15.7568685,1,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
4,exp1.png,exp2.png,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,4,FALSE,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.476191411,1,valid_win,21.0558828,2,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
5,exp3.png,exp4.png,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,5,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.672086997,1,valid_win,25.2704737,3,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
6,exp1.png,exp2.png,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5,6,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.157963312,0,invalid_lose,29.485225,3,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
7,exp3.png,exp4.png,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,7,FALSE,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.178356806,0,invalid_lose,34.2348121,3,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
8,exp1.png,exp2.png,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7,8,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.016597933,1,invalid_win,40.9491737,4,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
9,exp3.png,exp4.png,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8,9,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.52156291,0,valid_lose,47.0632012,4,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
