trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,ver,date,expName,psychopyVersion,frameRate,
0,exp1.png,exp2.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.8791074599890285,0,valid_lose,6.027864800009411,0,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
1,exp3.png,exp4.png,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7249036165977054,1,valid_win,11.843231600010768,1,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
2,exp1.png,exp2.png,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.3069033002691477,0,valid_lose,17.973966300021857,1,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
3,exp3.png,exp4.png,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7012932588051487,1,valid_win,24.186388200032525,2,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
4,exp1.png,exp2.png,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.37381372542944136,1,valid_win,29.786754500004463,3,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
5,exp3.png,exp4.png,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.6350506645055478,0,valid_lose,34.74994260002859,3,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
6,exp1.png,exp2.png,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.7916813571805411,0,valid_lose,40.13345520000439,3,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
7,exp3.png,exp4.png,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.4895306098998401,0,valid_lose,45.414002100005746,3,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
8,exp1.png,exp2.png,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.4613238187159102,0,valid_lose,51.228169700014405,3,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
9,exp3.png,exp4.png,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.18729774712946767,1,invalid_win,57.59378540003672,4,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
10,exp1.png,exp2.png,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8484217408589405,1,valid_win,65.29113090003375,5,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
11,exp3.png,exp4.png,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8875419537755815,1,valid_win,71.37268890003907,6,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
12,exp1.png,exp2.png,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8926164681723406,1,valid_win,77.28596130001824,7,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
13,exp3.png,exp4.png,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9827372719665156,1,valid_win,82.78531130001647,8,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
14,exp1.png,exp2.png,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.19099022877255922,1,invalid_win,87.88357020000694,9,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
15,exp3.png,exp4.png,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7133101405131554,1,valid_win,93.6980470000417,10,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
16,exp1.png,exp2.png,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.8450931599940972,0,valid_lose,99.17829520005034,10,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
17,exp3.png,exp4.png,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.334728233620052,1,valid_win,104.40977730002487,11,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
18,exp1.png,exp2.png,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.502041579611577,0,valid_lose,109.65933330002008,11,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
19,exp3.png,exp4.png,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.45592861465388224,0,valid_lose,114.65764460002538,11,,,,,,,,,,,s_012,1,2020_Nov_30_1212,Reversal,3.2.4,60.0986098012108,
