trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,ver,date,expName,psychopyVersion,frameRate
0,exp1.png,exp2.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,1,FALSE,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.219389076,1,invalid_win,12.4753198,1,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
1,exp3.png,exp4.png,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1,2,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.578655037,1,valid_win,19.3724873,2,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
2,exp1.png,exp2.png,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,3,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.507182763,0,valid_lose,26.0046371,2,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
3,exp3.png,exp4.png,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,4,FALSE,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.744260045,0,valid_lose,33.1348014,2,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
4,exp1.png,exp2.png,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4,5,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.821341773,1,valid_win,40.8161435,3,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
5,exp3.png,exp4.png,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5,6,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.963911582,0,valid_lose,46.1140148,3,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
6,exp1.png,exp2.png,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6,7,TRUE,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.884239923,1,valid_win,51.5625279,4,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
7,exp3.png,exp4.png,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7,8,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.13084791,1,invalid_win,57.9935081,5,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
8,exp1.png,exp2.png,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8,9,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.622114045,1,valid_win,62.8413967,6,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
9,exp3.png,exp4.png,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,9,10,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.566149973,0,valid_lose,67.307312,6,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
10,exp1.png,exp2.png,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10,11,TRUE,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.304996435,1,valid_win,71.9713284,7,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
11,exp3.png,exp4.png,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,11,12,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.913561046,0,valid_lose,76.7367926,7,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
12,exp1.png,exp2.png,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12,13,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.621125036,0,valid_lose,81.4348143,7,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
13,exp3.png,exp4.png,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13,14,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.229481448,1,invalid_win,85.7836756,8,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
14,exp1.png,exp2.png,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14,15,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.808499606,1,valid_win,90.3822653,9,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
15,exp3.png,exp4.png,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15,16,FALSE,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.304167103,0,valid_lose,94.6974986,9,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
16,exp1.png,exp2.png,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,16,17,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.411743809,1,valid_win,99.0635745,10,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
17,exp3.png,exp4.png,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,17,18,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.76069949,0,valid_lose,103.72826,10,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
18,exp1.png,exp2.png,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18,19,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.781888722,1,valid_win,107.9748517,11,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
19,exp3.png,exp4.png,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,19,20,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.629498695,1,valid_win,112.1748073,12,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
20,exp1.png,exp2.png,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,50,50,50,,,,,,,s_041,4,2021_Jan_12_1040,Reversal,3.2.4,60.05847293
