trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,ver,date,expName,psychopyVersion,frameRate,
0,exp1.png,exp2.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
1,exp3.png,exp4.png,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.3994501688136418,1,valid_win,8.725093299988657,1,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
2,exp1.png,exp2.png,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9081310000998936,1,valid_win,18.655647500010673,2,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
3,exp3.png,exp4.png,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9155433247355922,1,valid_win,25.453355800011195,3,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
4,exp1.png,exp2.png,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.7090734865505302,1,valid_win,30.4513578999904,4,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
5,exp3.png,exp4.png,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5742288607715801,1,valid_win,35.699694599956274,5,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
6,exp1.png,exp2.png,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8967591530008635,1,valid_win,40.08174309995957,6,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
7,exp3.png,exp4.png,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.19860350841677366,0,invalid_lose,44.913487799989525,6,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
8,exp1.png,exp2.png,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6105928851268145,1,valid_win,50.261966199963354,7,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
9,exp3.png,exp4.png,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.030753753061312672,0,invalid_lose,55.04346279997844,7,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
10,exp1.png,exp2.png,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9217092799629388,1,valid_win,59.2421315999818,8,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
11,exp3.png,exp4.png,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7107568528371011,1,valid_win,63.70611480000662,9,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
12,exp1.png,exp2.png,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.7016425509585765,1,valid_win,67.95560869999463,10,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
13,exp3.png,exp4.png,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8948715075704919,1,valid_win,72.85386739997193,11,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
14,exp1.png,exp2.png,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9756349834058134,1,valid_win,77.70156859996496,12,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
15,exp3.png,exp4.png,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7748199129950584,1,valid_win,82.10095429996727,13,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
16,exp1.png,exp2.png,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.33021882708309036,1,valid_win,86.2503409999772,14,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
17,exp3.png,exp4.png,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9179020985906132,1,valid_win,90.68138259998523,15,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
18,exp1.png,exp2.png,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.21630411747884126,0,invalid_lose,94.79703289997997,15,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
19,exp3.png,exp4.png,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5516484284884002,1,valid_win,99.0452527999878,16,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
20,exp1.png,exp2.png,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.26823567607158383,1,valid_win,103.47706499998458,17,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,11,78,20,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
0,exp1.png,exp2.png,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
1,exp3.png,exp4.png,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.26069994083635084,1,valid_win,134.54968539997935,18,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
2,exp1.png,exp2.png,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.48793377411948347,1,valid_win,139.18152009998448,19,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
3,exp3.png,exp4.png,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.19310966621522285,0,invalid_lose,143.42956829996547,19,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
4,exp1.png,exp2.png,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.5145194007500459,1,valid_win,148.0284599000006,20,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
5,exp3.png,exp4.png,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.37703663660294073,1,valid_win,152.42645319999428,21,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
6,exp1.png,exp2.png,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.18131846134452634,0,invalid_lose,156.45935109996935,21,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
7,exp3.png,exp4.png,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.15586297214419287,0,invalid_lose,160.49058270000387,21,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
8,exp1.png,exp2.png,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6570487484844959,0,valid_lose,164.70647529995767,21,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
9,exp3.png,exp4.png,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.705709230127793,1,valid_win,168.77155209996272,22,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
10,exp1.png,exp2.png,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.5109480588991793,1,valid_win,172.80261289997725,23,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
11,exp3.png,exp4.png,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.35901204324700364,1,valid_win,177.18481139995856,24,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
12,exp1.png,exp2.png,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6850516743456637,1,valid_win,181.91646669997135,25,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
13,exp3.png,exp4.png,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5029136875311211,1,valid_win,186.58072889997857,26,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
14,exp1.png,exp2.png,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.49476886569788026,1,valid_win,191.0637281999807,27,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
15,exp3.png,exp4.png,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.3826699542531623,1,valid_win,195.1298397000064,28,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
16,exp1.png,exp2.png,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.2030456742292046,0,invalid_lose,199.49407949997112,28,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
17,exp3.png,exp4.png,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.15615534550972154,0,invalid_lose,203.82653159997426,28,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
18,exp1.png,exp2.png,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.07625412758447692,1,invalid_win,208.02432349999435,29,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
19,exp3.png,exp4.png,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.8559794828574933,0,valid_lose,212.6556370999897,29,,,,,,,,,,,s_077,1,2021_Apr_12_1328,Reversal,3.2.4,60.0208392333531,
