trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,ver,date,expName,psychopyVersion,frameRate,
0,exp1.png,exp2.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.36423232924576154,0,valid_lose,18.972683500032872,0,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
1,exp3.png,exp4.png,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.9041786283458842,0,valid_lose,38.516522900084965,0,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
2,exp1.png,exp2.png,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.9030368607458809,1,valid_win,44.998221400077455,1,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
3,exp3.png,exp4.png,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.842437705272662,1,valid_win,52.8945592000382,2,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
4,exp1.png,exp2.png,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.10824849301249806,0,invalid_lose,58.37637200008612,2,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
5,exp3.png,exp4.png,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.6991182395481385,1,valid_win,63.84074790007435,3,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
6,exp1.png,exp2.png,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.5639571461609493,0,valid_lose,70.85584360000212,3,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
7,exp3.png,exp4.png,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.43737682366140296,1,valid_win,75.43732580007054,4,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
8,exp1.png,exp2.png,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.6647411485410226,1,valid_win,80.65224010008387,5,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
9,exp3.png,exp4.png,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.8691323029271043,1,valid_win,85.53390240005683,6,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
10,exp1.png,exp2.png,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.08067057057349725,0,invalid_lose,91.01505460008048,6,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
11,exp3.png,exp4.png,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.49836184640658787,1,valid_win,95.2476689000614,7,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
12,exp1.png,exp2.png,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.34344310537041856,1,valid_win,100.27884839999024,8,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
13,exp3.png,exp4.png,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.8085202020843529,1,valid_win,104.47785890009254,9,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
14,exp1.png,exp2.png,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7193051618743135,1,valid_win,109.07617720006965,10,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
15,exp3.png,exp4.png,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.8072860118858557,1,valid_win,114.62366510007996,11,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
16,exp1.png,exp2.png,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.24592404659886546,0,invalid_lose,118.83885010005906,11,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
17,exp3.png,exp4.png,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.03846300605792674,0,invalid_lose,122.73860839998815,11,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
18,exp1.png,exp2.png,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.3179794373158522,0,valid_lose,128.63613550004084,11,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
19,exp3.png,exp4.png,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.027518985440376786,0,invalid_lose,133.0679100000998,11,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
20,exp1.png,exp2.png,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_087,3,2022_Jun_21_1743,Reversal,3.2.4,59.88034708558598,
