participant,image_file,estimation_response,block
sub_938,exp1.png,65.0,6
sub_938,exp2.png,33.0,6
sub_938,exp3.png,67.0,6
sub_938,exp4.png,34.0,7
sub_938,exp1.png,100.0,12
sub_938,exp2.png,1.0,12
sub_938,exp3.png,97.0,13
sub_938,exp4.png,4.0,13
sub_938,exp2.png,36.0,19
sub_938,exp3.png,40.0,19
sub_938,exp4.png,61.0,19
sub_938,exp1.png,100.0,25
sub_938,exp2.png,1.0,25
sub_938,exp3.png,40.0,25
sub_938,exp4.png,65.0,25
sub_938,exp1.png,93.0,31
sub_938,exp2.png,7.0,31
sub_938,exp3.png,7.0,31
sub_938,exp4.png,94.0,32
sub_938,exp1.png,96.0,37
sub_938,exp2.png,5.0,37
sub_938,exp3.png,5.0,38
sub_938,exp4.png,96.0,38
sub_938,exp1.png,55.0,43
sub_938,exp2.png,42.0,44
sub_938,exp3.png,24.0,44
sub_938,exp4.png,76.0,44
