participant,non-reversed,reversed
sub_015,0.625,0.5
sub_026,0.7142857142857143,0.5
sub_032,1.0,0.25
sub_054,1.0,0.625
sub_076,0.7142857142857143,0.25
sub_080,0.875,0.25
sub_083,0.875,0.125
sub_089,0.625,0.0
sub_100,0.875,0.5
sub_1010,1.0,0.875
sub_1012,0.875,0.5
sub_1017,0.875,0.5
sub_1020,0.625,0.875
sub_1022,0.5714285714285714,0.0
sub_1024,1.0,0.875
sub_118,0.7142857142857143,0.625
sub_124,0.5714285714285714,0.75
sub_140,0.2857142857142857,0.875
sub_143,0.75,0.375
sub_1502,0.2857142857142857,0.25
sub_154,0.625,0.25
sub_1557,0.5,0.25
sub_173,0.625,0.375
sub_184,0.875,0.875
sub_207,0.25,0.5714285714285714
sub_212,0.42857142857142855,0.125
sub_215,0.625,0.375
sub_217,0.0,0.875
sub_221,0.875,0.125
sub_227,0.75,0.5714285714285714
sub_230,1.0,0.0
sub_256,1.0,0.625
sub_257,0.875,0.0
sub_258,0.8571428571428571,0.75
sub_268,1.0,0.0
sub_287,0.625,0.375
sub_289,0.625,0.5
sub_303,0.875,0.125
sub_312,0.8571428571428571,0.375
sub_324,0.75,0.625
sub_329,0.75,0.0
sub_330,0.7142857142857143,0.125
sub_339,0.375,0.625
sub_345,0.5,0.5
sub_371,0.625,0.5
sub_385,1.0,0.8571428571428571
sub_392,0.5714285714285714,0.375
sub_401,0.625,0.625
sub_403,1.0,0.2857142857142857
sub_405,1.0,1.0
sub_457,0.75,0.125
sub_458,1.0,0.875
sub_477,0.75,0.25
sub_487,0.875,0.125
sub_489,0.625,0.14285714285714285
sub_496,0.5714285714285714,0.25
sub_505,0.625,0.14285714285714285
sub_512,0.75,0.5
sub_535,0.875,0.8571428571428571
sub_571,1.0,0.14285714285714285
sub_572,1.0,0.0
sub_584,0.42857142857142855,0.5
sub_609,0.75,0.75
sub_667,1.0,0.8571428571428571
sub_690,0.625,0.625
sub_692,0.2857142857142857,0.75
sub_699,0.5,0.625
sub_706,0.8571428571428571,0.25
sub_714,0.8571428571428571,0.25
sub_725,0.25,0.125
sub_732,0.75,0.25
sub_736,0.8571428571428571,0.375
sub_778,1.0,0.25
sub_788,1.0,0.5
sub_798,1.0,0.75
sub_803,0.625,1.0
sub_813,0.5,0.2857142857142857
sub_818,0.75,0.375
sub_822,1.0,0.25
sub_828,0.75,0.5
sub_834,0.8571428571428571,0.875
sub_872,1.0,0.125
sub_880,0.7142857142857143,0.75
sub_899,1.0,0.42857142857142855
sub_914,0.875,0.25
sub_916,1.0,0.25
sub_920,1.0,0.625
sub_921,0.875,0.375
sub_922,0.625,1.0
sub_925,0.875,1.0
sub_931,1.0,0.2857142857142857
sub_936,0.875,0.625
sub_953,0.5,0.7142857142857143
sub_969,0.375,0.375
sub_981,1.0,0.5714285714285714
sub_987,0.875,0.25
sub_990,0.75,0.5
sub_996,1.0,1.0
sub_998,1.0,1.0
