"participant","pair_delta_learning_phase","pair_delta_reversal_phase","delta_learning_phase_above_pair_type","delta_reversal_phase_above_pair_type","total_correct_learning_phase","total_correct_reversal_phase","delta_reversed_pair_end_of_phases","delta_non_reversed_pair_end_of_phases","delta_reversed_pair_within_switch_point","delta_non_reversed_pair_within_switch_point","delta_reversed_pair_throughout_reversal_phase","delta_non_reversed_pair_throughout_reversal_phase","total_correct_per_participant"
"sub_008",1,-2,0,-10,28,28,-2,1,-2,-2,0,1,56
"sub_009",-2,0,0,0,26,26,0,-2,0,0,0,0,52
"sub_015",0,3,2,8,56,34,7,4,4,4,-3,-1,90
"sub_026",-1,5,0,10,50,36,6,0,4,4,-2,1,86
"sub_028",-1,5,-5,13,43,29,3,-3,4,4,1,3,72
"sub_032",3,-1,3,-2,53,50,-1,3,-1,-1,0,-3,103
"sub_039",2,-2,7,4,39,30,3,7,4,4,1,-7,69
"sub_040",0,-3,-3,-4,27,32,-3,0,-3,-3,0,-1,59
"sub_042",3,5,13,15,13,15,0,-2,0,0,0,0,28
"sub_046",1,-3,-6,-8,40,30,-2,2,-4,-4,-2,1,70
"sub_054",1,8,6,11,46,35,6,-1,3,3,-3,0,81
"sub_072",-2,3,-5,0,25,42,0,-5,-1,-1,-1,4,67
"sub_076",1,6,5,7,53,41,4,-1,0,0,-4,2,94
"sub_077",-1,-3,3,4,43,42,1,3,3,3,2,-4,85
"sub_080",-1,4,-3,10,51,48,3,-2,2,2,-1,1,99
"sub_083",2,-1,2,-3,52,47,0,3,-1,-1,-1,-1,99
"sub_089",-2,0,-5,-5,41,49,1,-1,-1,-1,-2,1,90
"sub_094",-6,1,-11,-1,47,35,4,-3,3,3,-1,1,82
"sub_100",-3,0,-2,5,38,33,5,2,4,4,-1,-3,71
"sub_101",1,5,10,14,44,38,5,1,4,4,-1,0,82
"sub_105",-5,2,0,5,28,33,3,-4,3,3,0,1,61
"sub_107",1,4,-11,1,45,31,6,3,1,1,-5,0,76
"sub_115",3,2,0,4,36,36,-1,0,-2,-2,-1,0,72
"sub_118",1,4,1,11,43,39,4,1,4,4,0,0,82
"sub_120",5,0,8,5,46,39,0,5,-2,-2,-2,-5,85
"sub_124",1,0,2,5,38,21,4,5,5,5,1,-1,59
"sub_128",0,3,-2,2,22,26,0,-3,-1,-1,-1,3,48
"sub_140",2,-2,8,0,46,18,4,8,5,5,1,-3,64
"sub_143",2,6,9,14,37,40,4,0,1,1,-3,1,77
"sub_146",2,0,1,0,41,10,4,6,-1,-1,-5,-5,51
"sub_154",-2,4,-1,8,43,32,7,1,3,3,-4,-1,75
"sub_156",-2,2,0,4,28,28,0,-4,3,3,3,3,56
